iter	Passed	Remaining
319	16939	35997
320	16991	35940
321	17042	35885
322	17097	35835
323	17149	35780
324	17200	35725
325	17255	35675
326	17305	35616
327	17356	35560
328	17406	35501
329	17457	35444
330	17508	35387
331	17561	35334
332	17613	35278
333	17663	35220
334	17730	35196
335	17779	35135
336	17831	35080
337	17881	35021
338	17930	34962
339	17983	34908
340	18035	34853
341	18090	34804
342	18139	34745
343	18193	34693
344	18243	34636
345	18292	34575
346	18342	34518
347	18393	34461
348	18450	34415
349	18501	34359
350	18552	34304
351	18604	34249
352	18655	34192
353	18717	34157
354	18767	34099
355	18817	34041
356	18864	33977
357	18918	33926
358	18969	33870
359	19020	33814
360	19069	33755
361	19119	33697
362	19172	33643
363	19221	33585
364	19273	33530
365	19325	33477
366	19375	33418
367	19428	33366
368	19478	33307
369	19528	33251
370	19579	33194
371	19629	33138
372	19680	33081
373	19734	33031
374	19786	32976
375	19836	32920
376	19887	32864
377	19942	32815
378	20008	32783
379	20062	32734
380	20112	32676
381	20163	32621
382	20213	32563
383	20262	32505
384	20314	32451
385	20365	32394
386	20413	32334
387	20465	32280
388	20515	32224
389	20565	32166
390	20617	32112
391	20668	32057
392	20722	32006
393	20772	31948
394	20836	31913
395	20888	31859
396	20936	31800
397	20986	31743
398	21040	31692
399	21088	31632
